frame,epoch time,sensor T,target T,drive T,df/f,time_s,sensor TF
4514,2021-12-20 10:44:15.555287040,22.28413621262458,21.5,19.181334440753044,0.057199,489.51642547200026,22.328140699503567
4515,2021-12-20 10:44:15.614077696,22.292558139534883,21.5,19.147906976744185,0.067663,489.57521612800025,22.323435962234612
4516,2021-12-20 10:44:15.717195264,22.299591836734695,21.5,19.165306122448982,0.075022,489.67833369600027,22.31874023408074
4517,2021-12-20 10:44:15.812930048,22.29027027027027,21.5,19.141081081081083,0.069041,489.77406848000027,22.314054780560085
4518,2021-12-20 10:44:15.913110528,22.235918367346937,21.5,19.133061224489797,0.055148,489.8742489600003,22.309380824222867
4519,2021-12-20 10:44:16.015624448,22.263333333333332,21.5,18.925714285714285,0.068752,489.97676288000025,22.304719544314022
4520,2021-12-20 10:44:16.116840960,22.22530612244898,21.5,19.024897959183676,0.064516,490.07797939200026,22.300072076544676
4521,2021-12-20 10:44:16.210533888,22.28685714285714,21.5,19.084,0.064657,490.17167232000025,22.295439512971114
4522,2021-12-20 10:44:16.310583552,22.299591836734695,21.5,19.073469387755104,0.053589,490.27172198400024,22.290822901979457
4523,2021-12-20 10:44:16.421315328,22.233684210526317,21.5,19.057894736842105,0.069023,490.38245376000026,22.286223248373766
4524,2021-12-20 10:44:16.572893696,22.246530612244896,21.5,19.04408163265306,0.06661,490.53403212800026,22.28164151356473
4525,2021-12-20 10:44:16.696861952,22.22,21.5,19.04,0.069834,490.6580003840003,22.27707861585566
4526,2021-12-20 10:44:16.744246528,22.259999999999998,21.5,19.01,0.068341,490.7053849600003,22.272535430822145
4527,2021-12-20 10:44:16.812733440,22.23061224489796,21.5,18.998163265306122,0.070168,490.7738718720003,22.26801279178112
4528,2021-12-20 10:44:16.907411968,22.22,21.5,18.985405405405402,0.073219,490.8685504000003,22.263511490344843
4529,2021-12-20 10:44:17.005741824,22.230833333333333,21.5,18.968333333333334,0.066021,490.9668802560003,22.259032277054654
4530,2021-12-20 10:44:17.110780416,22.23333333333333,21.5,18.955384615384617,0.062783,491.07191884800034,22.25457586208927
4531,2021-12-20 10:44:17.210005504,22.23061224489796,21.5,18.94448979591837,0.066731,491.17114393600036,22.250142916041906
4532,2021-12-20 10:44:17.311443200,22.239047619047618,21.5,18.930476190476192,0.062064,491.27258163200037,22.24573407076024
4533,2021-12-20 10:44:17.440712192,22.246530612244896,21.5,18.91469387755102,0.066267,491.40185062400036,22.241349920242893
4534,2021-12-20 10:44:17.596716288,22.232380952380954,21.5,18.90142857142857,0.06422,491.55785472000036,22.236991021586046
4535,2021-12-20 10:44:17.655174912,22.23828349944629,21.5,18.885132890365448,0.071814,491.6163133440004,22.232657895973503
4536,2021-12-20 10:44:17.713623808,22.24418604651163,21.5,18.868837209302328,0.068886,491.6747622400004,22.228351029703393
4537,2021-12-20 10:44:17.815725312,22.235918367346937,21.5,18.855102040816327,0.077605,491.7768637440004,22.224070875244664
4538,2021-12-20 10:44:17.911309312,22.22,21.5,18.836666666666666,0.063287,491.8724477440004,22.219817852316407
4539,2021-12-20 10:44:18.014064640,22.22,21.5,18.82530612244898,0.065835,491.9752030720004,22.215592348983158
4540,2021-12-20 10:44:18.117172224,22.232999999999997,21.5,18.814249999999998,0.071752,492.0783106560004,22.21139472275929
4541,2021-12-20 10:44:18.215029248,22.22583333333333,21.5,18.90625,0.075578,492.1761676800004,22.207225301715745
4542,2021-12-20 10:44:18.326404608,22.252499999999998,21.5,18.89875,0.070654,492.2875430400004,22.2030843855825
4543,2021-12-20 10:44:18.487689216,22.235918367346937,21.5,18.775714285714287,0.071839,492.4488276480004,22.19897224684027
4544,2021-12-20 10:44:18.604003072,22.22,21.5,18.77,0.060231,492.5651415040004,22.194889131795282
4545,2021-12-20 10:44:18.643461888,22.169999999999998,21.5,18.74,0.067827,492.6046003200004,22.19083526163116
4546,2021-12-20 10:44:18.714141440,22.20469387755102,21.5,18.731836734693875,0.062689,492.6752798720004,22.186810833432254
4547,2021-12-20 10:44:18.803368448,22.1965625,21.5,18.71875,0.069255,492.7645068800004,22.182816021173103
4548,2021-12-20 10:44:18.898227968,22.246530612244896,21.5,18.703061224489797,0.063206,492.8593664000004,22.17885097666911
4549,2021-12-20 10:44:19.008195328,22.22,21.5,18.688,0.070737,492.9693337600004,22.17491583048389
4550,2021-12-20 10:44:19.109492224,22.22,21.5,18.676530612244896,0.066305,493.0706306560004,22.171010692789164
4551,2021-12-20 10:44:19.210497536,22.21404761904762,21.5,18.665714285714287,0.072465,493.1716359680004,22.16713565417353
4552,2021-12-20 10:44:19.336326656,22.208636363636362,21.5,18.733636363636364,0.066,493.29746508800037,22.163290786396978
4553,2021-12-20 10:44:19.508192512,22.183541666666667,21.5,18.798750000000002,0.072944,493.4693309440004,22.159476143088387
4554,2021-12-20 10:44:19.568190208,22.193437499999998,21.5,18.70220833333333,0.076283,493.52932864000036,22.15569176038389
4555,2021-12-20 10:44:19.628187904,22.20333333333333,21.5,18.605666666666664,0.076479,493.58932633600034,22.151937657504394
4556,2021-12-20 10:44:19.715876096,22.17408163265306,21.5,18.594285714285714,0.071519,493.6770145280003,22.148213837271204
4557,2021-12-20 10:44:19.809951232,22.20611111111111,21.5,18.57611111111111,0.06596,493.7710896640003,22.144520286559132
4558,2021-12-20 10:44:19.910071296,22.107755102040816,21.5,18.564285714285713,0.071046,493.87120972800034,22.14085697668708
4559,2021-12-20 10:44:20.013219072,22.187948717948718,21.5,18.546666666666667,0.068325,493.97435750400035,22.13722386374654
4560,2021-12-20 10:44:20.111397888,22.168979591836734,21.5,18.53734693877551,0.072791,494.0725363200003,22.133620888869032
4561,2021-12-20 10:44:20.212433408,22.190238095238094,21.5,18.524285714285718,0.068349,494.1735718400003,22.130047978433925
4562,2021-12-20 10:44:20.313146880,22.123061224489796,21.5,18.507755102040818,0.072558,494.2742853120003,22.126505044218614
4563,2021-12-20 10:44:20.411255552,22.165945945945946,21.5,18.494054054054054,0.070618,494.3723939840003,22.122991983493506
4564,2021-12-20 10:44:20.552765440,22.138367346938775,21.5,18.477755102040817,0.072601,494.5139038720003,22.11950867906478
4565,2021-12-20 10:44:20.696930816,22.156451612903226,21.5,18.47,0.073418,494.6580692480003,22.11605499926822
